year,month,month_name,station_id,station_name,network_name,state_code,PM2.5,PM10,O3,NO2,NOx,CO
2001.0,3.0,Marzo,102,Centro,Guadalajara,0.0,,,,,,
2001.0,3.0,Marzo,103,Las Águilas,Guadalajara,0.0,,,,,,
2001.0,3.0,Marzo,106,Miravalle,Guadalajara,0.0,,,,,,
2001.0,3.0,Marzo,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2001.0,3.0,Marzo,125,Metepec,Toluca,0.0,,,,,,
2001.0,3.0,Marzo,126,Oxtotitlán,Toluca,0.0,,,,,,
2001.0,3.0,Marzo,128,San Mateo Atenco,Toluca,0.0,,,,,,
2001.0,3.0,Marzo,139,Santa Catarina,Monterrey,19.0,,,,,,
2001.0,3.0,Marzo,140,San Bernabé,Monterrey,19.0,,,,,,
2001.0,3.0,Marzo,141,Obispado,Monterrey,19.0,,,,,,
2001.0,3.0,Marzo,142,San Nicolás,Monterrey,19.0,,,,,,
2001.0,3.0,Marzo,143,La Pastora,Monterrey,19.0,,,,,,
2001.0,3.0,Marzo,161,Agua Santa,Puebla,21.0,,,,,,
2001.0,3.0,Marzo,162,Las Ninfas,Puebla,21.0,,,,,,
2001.0,3.0,Marzo,256,Merced,Valle de México,9.0,,,,,,
2001.0,3.0,Marzo,260,San Agustín,Valle de México,15.0,,,,,,
2001.0,3.0,Marzo,266,Tlalnepantla,Valle de México,15.0,,,,,,
2001.0,3.0,Marzo,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
2001.0,3.0,Marzo,271,Xalostoc,Valle de México,15.0,,,,,,
2001.0,4.0,Abril,102,Centro,Guadalajara,0.0,,,,,,
2001.0,4.0,Abril,103,Las Águilas,Guadalajara,0.0,,,,,,
2001.0,4.0,Abril,106,Miravalle,Guadalajara,0.0,,,,,,
2001.0,4.0,Abril,109,Tlaquepaque,Guadalajara,0.0,,,,,,
2001.0,4.0,Abril,125,Metepec,Toluca,0.0,,,,,,
2001.0,4.0,Abril,126,Oxtotitlán,Toluca,0.0,,,,,,
2001.0,4.0,Abril,128,San Mateo Atenco,Toluca,0.0,,,,,,
2001.0,4.0,Abril,139,Santa Catarina,Monterrey,19.0,,,,,,
2001.0,4.0,Abril,140,San Bernabé,Monterrey,19.0,,,,,,
2001.0,4.0,Abril,141,Obispado,Monterrey,19.0,,,,,,
2001.0,4.0,Abril,142,San Nicolás,Monterrey,19.0,,,,,,
2001.0,4.0,Abril,143,La Pastora,Monterrey,19.0,,,,,,
2001.0,4.0,Abril,161,Agua Santa,Puebla,21.0,,,,,,
2001.0,4.0,Abril,162,Las Ninfas,Puebla,21.0,,,,,,
2001.0,4.0,Abril,256,Merced,Valle de México,9.0,,,,,,
2001.0,4.0,Abril,260,San Agustín,Valle de México,15.0,,,,,,
2001.0,4.0,Abril,266,Tlalnepantla,Valle de México,15.0,,,,,,
2001.0,4.0,Abril,268,UAM Iztapalapa,Valle de México,9.0,,,,,,
